10000:0.000
20000:0.000
30000:1.000
40000:2.000
50000:3.000
60000:3.000
70000:5.000
80000:8.000
90000:9.000
100000:11.000
110000:13.000
120000:14.000
130000:17.000
140000:21.000
150000:23.000
160000:27.000
170000:30.000
180000:34.000
190000:37.000
200000:42.000
210000:45.000
220000:49.000
230000:55.000
240000:60.000
250000:63.000
260000:71.000
270000:76.000
280000:80.000
290000:88.000
300000:93.000
310000:101.000
320000:107.000
330000:112.000
340000:120.000
350000:131.000
360000:135.000
370000:140.000
380000:150.000
390000:156.000
400000:166.000
410000:173.000
420000:183.000
430000:191.000
440000:200.000
450000:208.000
460000:218.000
470000:227.000
480000:232.000
490000:275.000
