10000:0.000000
20000:0.000000
30000:1.000000
40000:2.000000
50000:2.000000
60000:4.000000
70000:6.000000
80000:6.000000
90000:10.000000
100000:12.000000
110000:13.000000
120000:15.000000
130000:19.000000
140000:22.000000
150000:28.000000
160000:37.000000
170000:32.000000
180000:35.000000
190000:41.000000
200000:45.000000
210000:49.000000
220000:62.000000
230000:61.000000
240000:70.000000
250000:76.000000
260000:92.000000
270000:92.000000
280000:93.000000
290000:96.000000
300000:109.000000
310000:112.000000
320000:127.000000
330000:127.000000
340000:135.000000
350000:146.000000
360000:142.000000
370000:143.000000
380000:147.000000
390000:153.000000
400000:163.000000
410000:170.000000
420000:178.000000
430000:186.000000
440000:195.000000
450000:205.000000
460000:213.000000
470000:239.000000
480000:264.000000
490000:272.000000
