10000:0.000
20000:1.000
30000:1.000
40000:1.000
50000:3.000
60000:4.000
70000:5.000
80000:6.000
90000:9.000
100000:11.000
110000:14.000
120000:16.000
130000:18.000
140000:21.000
150000:24.000
160000:28.000
170000:30.000
180000:35.000
190000:38.000
200000:43.000
210000:51.000
220000:52.000
230000:56.000
240000:61.000
250000:66.000
260000:72.000
270000:75.000
280000:84.000
290000:88.000
300000:97.000
310000:106.000
320000:107.000
330000:129.000
340000:135.000
350000:133.000
360000:132.000
370000:138.000
380000:144.000
390000:152.000
400000:190.000
410000:184.000
420000:181.000
430000:185.000
440000:194.000
450000:200.000
460000:211.000
470000:220.000
480000:229.000
490000:238.000
