10000;0.000000
20000;1.000000
30000;1.000000
40000;1.000000
50000;4.000000
60000;4.000000
70000;5.000000
80000;9.000000
90000;12.000000
100000;12.000000
110000;13.000000
120000;15.000000
130000;19.000000
140000;21.000000
150000;25.000000
160000;32.000000
170000;33.000000
180000;38.000000
190000;44.000000
200000;46.000000
210000;62.000000
220000;66.000000
230000;76.000000
240000;77.000000
250000;88.000000
260000;93.000000
270000;101.000000
280000;109.000000
290000;117.000000
300000;123.000000
310000;132.000000
320000;156.000000
330000;155.000000
340000;170.000000
350000;176.000000
360000;226.000000
370000;232.000000
380000;225.000000
390000;318.000000
400000;331.000000
410000;394.000000
420000;339.000000
430000;392.000000
440000;364.000000
450000;275.000000
460000;298.000000
470000;405.000000
480000;469.000000
